Cluster,RAh,RAm,RAs,DE-,DEd,DEm,DEs,Class,Diam,Dist,E(B-V),Age,pmRA,e_pmRA,pmDE,e_pmDE,Nc,r_pmRA,RV,e_RV,o_RV,r_RV,[Fe/H],e_[Fe/H],o_[Fe/H],TrType
NGC 6031,16,7,35,-,54,0,54,,3.0,1823,0.371,8.069,-2.8,0.27,-5.95,0.3,93,D14,-2.48,1.34,4,FM09,0.02,0.09,0,
Ruprecht 115,16,12,52,-,52,24,0,,5.0,2160,0.65,8.78,-2.49,0.29,-4.8,0.24,172,D14,,,0,,0.04,0.07,0,
NGC 6067,16,13,11,-,54,13,6,,14.0,1417,0.38,8.076,-2.75,0.16,-5.75,0.19,1386,D14,-39.99,0.18,11,MMU,0.138,0.06,5,
Pismis 22,16,14,9,-,51,52,0,,4.0,1000,2.0,7.6,-2.97,0.49,-3.31,0.53,110,D14,,,0,,,,0,
Ruprecht 176,16,14,48,-,51,20,0,,3.0,2686,0.479,8.76,-2.99,0.57,-2.9,0.64,120,D14,,,0,,,,0,3-2-m-*
Harvard 10,16,18,48,-,54,56,0,,25.0,1312,0.36,8.34,-2.56,0.09,-6.0,0.09,3582,D14,-18.17,1.94,3,FM09,,,0,
NGC 6087,16,18,50,-,57,56,6,,14.0,891,0.175,7.976,-5.69,0.2,-4.86,0.21,683,D14,5.83,0.05,1,MMU,-0.01,0.06,0,
Lynga 8,16,20,4,-,50,13,59,cr,3.0,1050,0.57,9.3,-3.52,0.35,-5.09,0.34,49,D14,,,0,,,,0,
Lynga 9,16,20,41,-,48,31,44,,6.0,1700,1.18,8.85,-4.2,0.16,-2.54,0.21,196,D14,,,0,,,,0,3-1-m-*
Ruprecht 116,16,23,20,-,52,0,0,,5.0,900,0.1,8.95,-1.1,0.55,-5.97,0.46,221,D14,,,0,,,,0,2-2-p-*
Ruprecht 117,16,23,32,-,51,53,0,,10.0,937,0.125,8.95,-1.53,0.24,-5.22,0.24,752,D14,,,0,,,,0,3-1-p-*
Pismis 23,16,23,58,-,48,53,33,,1.0,2600,2.0,8.48,-5.51,1.5,-3.42,0.33,24,D14,,,0,,,,0,
ESO 226 06,16,24,14,-,51,9,6,,4.0,1220,0.833,8.475,-2.37,0.31,-5.49,0.41,128,D14,,,0,,,,0,4-2-vp-*
ESO 137 23,16,24,27,-,61,44,30,d,5.0,1561,0.104,9.55,-4.19,0.41,-5.78,0.44,126,D14,,,0,,,,0,
Ruprecht 118,16,24,36,-,51,58,0,,3.0,1343,0.41,8.11,-0.33,0.49,-3.94,0.46,177,D14,,,0,,,,0,
NGC 6124,16,25,20,-,40,39,12,,39.0,512,0.75,8.147,-1.26,0.26,-3.0,0.26,60,TYC,-21.07,0.19,8,MMU,,,0,
Collinder 302,16,26,8,-,26,15,0,o,500.0,0,,,,,,,0,,,,0,,,,0,3-3-p-*
Dol Dzim 5,16,27,24,+,38,4,0,,15.0,900,0.02,9.3,-8.19,1.75,-5.02,1.26,27,D14,,,0,,,,0,4-3-p-*
NGC 6134,16,27,46,-,49,9,6,,6.0,1260,0.35,8.95,-1.0,0.13,-6.05,0.25,219,D14,-25.7,0.19,14,MMU,0.15,0.07,3,
Ruprecht 119,16,28,15,-,51,30,0,,8.0,956,0.57,6.853,-2.13,0.21,-3.42,0.23,390,D14,-11.21,1.34,6,FM09,,,0,
Hogg 19,16,28,57,-,49,6,0,,4.0,3266,0.6,9.1,-2.91,0.34,-5.07,0.23,131,D14,,,0,,,,0,4-2-p-*
Patchick 94,16,29,36,-,47,18,38,,1.3,4126,1.312,9.07,-1.19,0.02,-1.74,1.15,17,D14,,,0,,,,0,
NGC 6152,16,32,45,-,52,38,36,,25.0,1030,0.3,,-1.85,0.1,-4.87,0.11,3119,D14,,,0,,,,0,3-3-r-*
NGC 6169,16,34,4,-,44,2,42,,12.0,1007,0.729,7.5,1.22,0.13,-1.04,0.14,369,D14,6.3,2.5,1,D14,,,0,3-1-m-*
NGC 6167,16,34,34,-,49,46,18,,7.0,1108,0.779,7.887,-0.83,0.76,-4.52,0.59,2,BDW,-21.32,0.41,5,FM09,,,0,
Ruprecht 120,16,35,10,-,48,17,0,,3.0,2000,0.7,8.18,-1.24,0.4,-3.44,0.61,80,D14,,,0,,,,0,
Collinder 307,16,35,20,-,51,0,0,,5.0,1551,0.83,8.4,-0.65,0.42,-3.69,0.35,199,D14,,,0,,,,0,3-2-p-*
NGC 6178,16,35,47,-,45,38,36,,5.0,1014,0.219,7.248,0.62,1.54,-2.06,1.35,2,BDW,3.55,10.0,2,D14,,,0,
Dolidze 27,16,36,30,-,8,57,0,,25.0,2107,0.874,8.97,-3.78,0.34,-5.13,0.37,203,D14,-42.86,1.4,1,D14,,,0,4-2-p-n
Lynga 11,16,38,9,-,46,19,0,,9.0,2300,0.7,8.8,-1.66,0.35,-2.1,0.35,149,D14,,,0,,,,0,3-2-p-*
NGC 6192,16,40,23,-,43,22,0,,9.0,1547,0.637,8.13,3.73,0.83,3.18,1.39,4,MRZ,-7.93,0.21,3,MMU,0.12,0.04,4,
ESO 277 04,16,40,25,-,43,44,30,,1.5,1790,1.166,8.72,-1.83,0.81,-2.11,0.02,22,D14,,,0,,,,0,
NGC 6193,16,41,20,-,48,45,48,,14.0,1155,0.475,6.775,-1.41,0.19,-3.44,0.2,458,D14,-33.27,1.49,8,D14,,,0,
Ruprecht 121,16,41,42,-,46,9,0,,8.0,1239,1.041,8.425,-0.75,0.18,-2.38,0.17,290,D14,,,0,,,,0,3-3-m-*
NGC 6200,16,44,7,-,47,27,48,,14.0,2054,0.581,6.928,-0.92,0.16,-2.37,0.19,1255,D14,-20.77,10.77,2,D14,,,0,
Hogg 20,16,44,30,-,47,38,0,d,4.0,1777,0.625,7.45,-2.02,0.36,-4.07,0.31,130,D14,,,0,,,,0,3-1-p-*
Dol Dzim 6,16,45,24,+,38,21,0,p,4.0,820,0.03,9.7,9.51,1.16,2.86,1.43,2,D14,-46.1,25.27,5,K14,,,0,4-3-p-*
Hogg 21,16,45,37,-,47,44,0,,4.0,1750,0.729,7.45,-0.35,0.43,-3.07,0.42,118,D14,,,0,,,,0,4-2-p-*
Lynga 12,16,46,4,-,50,45,50,,8.0,1000,0.22,8.75,-0.6,0.25,-4.28,0.3,268,D14,,,0,,,,0,3-2-m-*
NGC 6204,16,46,9,-,47,1,0,,5.0,1200,0.46,7.9,-1.61,0.33,-0.05,0.43,233,D14,53.0,6.0,0,RGDZ,-1.053,0.15,1,
BH 197,16,46,30,-,45,51,36,,4.0,1633,1.041,7.5,1.63,0.32,-2.3,0.51,130,D14,,,0,,,,0,4-2-p-*
Hogg 22,16,46,37,-,47,5,0,,3.0,1216,0.647,6.78,-1.14,0.33,-0.67,0.46,88,D14,-66.74,5.82,3,D14,,,0,
Westerlund 1,16,47,4,-,45,50,36,v,2.4,5500,4.35,6.7,-4.5,2.61,-10.01,2.61,13,K14,,,0,,,,0,
ESO 518 03,16,47,4,-,25,48,42,,5.0,1266,0.369,9.17,-3.11,0.5,-1.62,0.52,72,D14,,,0,,,,0,3-2-p-*
ASCC 85,16,47,31,-,45,27,36,,26.4,1200,0.2,7.42,-0.43,0.41,-4.01,0.34,11,K05,7.09,10.0,1,D14,,,0,
ESO 137 43,16,48,25,-,61,45,36,nf,6.0,1659,0.312,8.9,-2.02,0.27,-3.75,0.31,118,D14,,,0,,,,0,
Lynga 13,16,48,53,-,43,26,0,,9.0,1139,0.511,8.92,-1.71,0.17,-2.25,0.21,356,D14,,,0,,0.0,0.28,0,3-1-m-*
NGC 6216,16,49,24,-,44,43,42,,4.0,4300,0.45,7.54,0.4,0.44,-3.77,0.45,135,D14,,,0,,,,0,
NGC 6208,16,49,28,-,53,43,42,,18.0,939,0.21,9.069,-0.24,4.41,0.53,3.25,1,BDW,-32.47,0.23,2,MMU,-0.03,,0,
BH 200,16,49,56,-,44,11,0,,5.0,1475,1.0,7.35,-1.61,0.24,-2.04,0.01,138,D14,,,0,,,,0,2-2-p-*
NGC 6231,16,54,10,-,41,49,30,,14.0,1243,0.439,6.843,-0.89,0.02,-1.79,0.04,644,D14,-27.54,2.65,10,D14,,,0,
ESO 332 08,16,54,43,-,40,42,30,,10.0,1200,0.2,8.17,-2.05,0.12,-3.32,0.16,327,D14,,,0,,,,0,3-3-p-*
Lynga 14,16,55,4,-,45,14,0,,3.0,881,1.428,6.712,0.79,0.1,-2.8,0.48,51,D14,,,0,,,,0,
FSR 1732,16,55,5,-,49,19,33,IR,1.8,3584,1.02,9.3,0.92,0.8,-2.86,0.8,178,K14,,,0,,,,0,
BH 202,16,55,8,-,40,57,0,,5.0,1607,0.87,8.05,-2.55,0.21,-2.89,0.33,173,D14,,,0,,,,0,3-2-p-*
Collinder 316,16,55,30,-,40,50,0,o,100.0,1000,0.2,,-0.89,0.54,-4.33,0.61,10,KHA,-29.05,3.94,14,D14,,,0,1-2-m-*
NGC 6242,16,55,33,-,39,27,42,,9.0,1131,0.377,7.608,-0.05,0.01,-0.42,0.14,294,D14,-7.1,0.31,1,K14,,,0,
ESO 332 11,16,56,1,-,40,46,48,nf,3.0,1841,0.541,7.1,-4.0,0.6,-3.56,0.53,51,D14,,,0,,,,0,
BH 205,16,56,11,-,40,40,0,,4.0,2160,0.3,7.12,-1.72,0.18,-2.44,0.08,68,D14,-7.0,6.1,1,D14,,,0,3-3-p-*
ESO 332 13,16,56,40,-,40,35,0,d,4.0,2910,0.562,6.82,-1.27,0.05,-2.48,0.02,40,D14,-5.0,6.4,1,K14,,,0,
Trumpler 24,16,57,0,-,40,40,0,o,60.0,1138,0.418,6.919,-2.61,0.03,-3.5,0.04,5720,D14,-3.45,5.42,6,D14,,,0,
NGC 6249,16,57,41,-,44,48,42,,5.0,981,0.443,7.386,1.35,0.18,-4.25,0.19,159,D14,-37.63,2.77,2,MMU,,,0,
NGC 6250,16,57,56,-,45,56,12,,10.0,865,0.35,7.415,-1.55,0.26,-2.35,0.35,122,D14,-8.04,0.81,5,FM09,,,0,
NGC 6253,16,59,5,-,52,42,30,,4.0,1510,0.2,9.7,-1.16,0.36,-4.83,0.52,190,D14,-29.6,0.31,38,MDCT,0.445,0.014,38,
BH 208,16,59,36,-,37,5,0,,2.0,3910,0.98,9.55,,,,,0,,,,0,,,,0,1-1-m-*
NGC 6259,17,0,45,-,44,39,18,,14.0,1031,0.498,8.336,1.04,0.15,-1.88,0.16,1251,D14,-34.66,0.61,14,MMU,0.02,0.09,2,
Alessi Teutsch 12,17,1,47,-,58,57,30,,66.0,700,0.12,7.07,-3.34,0.54,-7.79,0.47,17,K05,-6.0,3.7,1,D14,,,0,
NGC 6268,17,2,10,-,39,43,42,,6.0,1080,0.4,7.6,0.12,0.21,-1.85,0.29,104,D14,-15.12,0.07,4,MMU,,,0,
BH 211,17,2,11,-,41,6,0,,4.0,1440,0.61,9.0,-3.45,0.49,-3.13,0.72,86,D14,,,0,,,,0,3-2-p-*
ASCC 87,17,3,0,-,28,27,0,,66.0,900,0.26,8.52,0.89,0.3,-2.79,0.44,19,K05,,,0,,,,0,
Harvard 13,17,3,51,-,48,5,0,,5.0,3612,0.656,9.285,-4.88,0.35,-1.58,0.47,199,D14,,,0,,,,0,4-1-m-*
Teutsch 84,17,4,20,-,42,4,24,,4.0,2200,1.12,9.0,-2.51,0.54,-4.02,0.25,57,D14,,,0,,,,0,
ESO 587 04,17,4,22,-,19,27,18,d,2.0,5271,0.437,9.175,3.78,0.47,-5.52,0.47,28,K14,,,0,,,,0,
ESO 043 13,17,4,30,-,74,21,30,,15.0,1490,0.104,9.315,-1.93,0.3,-7.56,0.48,238,D14,,,0,,,,0,4-3-p-*
NGC 6281,17,4,41,-,37,59,6,,8.0,479,0.148,8.497,-2.14,0.34,-2.97,0.45,217,D14,-5.58,0.26,2,MMU,0.0,,0,
ESO 332 20,17,4,55,-,38,19,12,,7.0,1695,0.791,8.05,-1.92,0.29,-2.65,0.32,234,D14,,,0,,,,0,4-2-p-*
BH 214,17,5,42,-,36,40,0,,5.0,1723,1.301,7.7,-4.88,0.38,-1.56,0.34,112,D14,,,0,,,,0,4-2-p-*
ESO 278 02,17,6,14,-,46,7,18,nf,2.0,0,,,,,,,0,,,,0,,,,0,
ASCC 88,17,6,47,-,35,36,0,,66.0,1900,0.5,7.17,-5.01,0.05,-0.5,0.05,6501,D14,2.84,3.38,2,D14,,,0,
ESO 332 22,17,7,29,-,40,48,48,d,7.0,1422,1.041,7.995,0.31,0.21,-2.14,0.17,258,D14,,,0,,,,0,
Dol Dzim 7,17,10,36,+,15,32,0,,3.0,1140,0.13,9.3,,,,,0,,,,0,,,,0,
FSR 1755,17,12,20,-,38,27,44,IR,6.3,0,,,-2.63,0.27,-3.6,0.37,109,D14,,,0,,,,0,
Teutsch 85,17,13,14,-,39,42,23,,4.0,1260,1.5,8.78,-1.41,0.28,0.29,0.17,138,D14,,,0,,,,0,
Moffat 2,17,14,28,-,39,46,0,,2.0,0,,,,,,,0,,,,0,,,,0,
NGC 6318,17,16,11,-,39,25,30,,4.0,2100,1.2,8.2,-0.87,0.32,-0.47,0.32,158,D14,,,0,,,,0,
BH 217,17,16,18,-,40,49,0,,5.0,1388,1.25,7.7,-2.17,0.27,-1.0,0.3,135,D14,,,0,,-0.58,0.4,0,1-2-m-*
Bochum 13,17,17,24,-,35,33,0,,14.0,1077,0.854,6.823,0.26,0.74,-1.56,0.38,2,BDW,-1.93,7.68,2,D14,,,0,
NGC 6322,17,18,25,-,42,56,0,,5.0,996,0.59,7.058,0.92,1.31,-0.48,0.64,1,BDW,-57.0,35.9,1,K07,,,0,
BH 221,17,18,39,-,32,19,0,,10.0,750,0.2,8.01,-2.22,0.28,-3.37,0.29,243,D14,8.86,6.02,2,D14,,,0,4-2-p-n
BH 222,17,18,47,-,38,17,0,,2.0,6000,1.85,7.78,-2.59,0.66,-4.05,0.66,27,D06,,,0,,,,0,2-1-p-*
Havlen Moffat 1,17,18,54,-,38,49,0,,5.0,3300,1.84,6.6,-1.68,0.19,-1.53,0.31,138,D14,,,0,,,,0,
BH 223,17,20,41,-,35,53,0,,6.0,414,0.05,7.14,0.09,0.29,0.77,0.18,58,D14,,,0,,,,0,3-3-p-n
NGC 6334,17,20,49,-,36,6,12,,31.0,1025,1.06,8.7,-1.32,0.09,-0.58,0.12,951,D14,-7.17,7.13,2,D14,,,0,
Ruprecht 123,17,23,26,-,37,54,0,,12.0,714,0.2,,-0.79,0.18,-3.15,0.22,449,D14,,,0,,,,0,3-3-m-*
Alessi 24,17,24,1,-,62,51,48,,132.0,500,0.1,7.03,1.35,0.45,-8.31,0.44,46,K05,-6.95,9.14,3,D14,-0.133,0.08,2,
Trumpler 25,17,24,29,-,39,1,0,,8.0,1818,0.937,8.35,0.27,0.2,-0.35,0.17,449,D14,,,0,,,,0,2-1-m-*
NGC 6357,17,24,43,-,34,12,6,,5.0,1205,1.35,8.6,-3.29,0.53,-0.81,0.43,60,D14,-8.0,17.3,1,D14,,,0,3-3-vp-n
Pismis 24,17,24,43,-,34,12,23,,2.0,1995,1.72,7.0,2.29,2.13,-0.91,2.13,13,K14,,,0,,,,0,
IC 4651,17,24,49,-,49,56,0,,10.0,888,0.116,9.057,-1.57,0.17,-2.62,0.19,480,D14,-30.8,0.2,44,MANM,0.15,0.01,3,
AH03 J1725 34.4,17,25,32,-,34,24,20,,2.6,290,1.58,6.85,,,,,0,,,,0,,,,0,
ESO 392 13,17,26,52,-,34,41,12,nf,10.0,816,0.75,7.95,-0.32,0.35,1.12,0.21,81,D14,,,0,,,,0,
Trumpler 26,17,28,32,-,29,29,50,,5.0,1000,0.35,8.85,0.24,0.27,-2.37,0.22,177,D14,-9.6,0.16,2,K14,,,0,2-1-m-*
Antalova 1,17,28,54,-,31,33,0,d,35.0,850,0.25,8.5,0.33,0.05,-2.89,0.07,2342,D14,33.0,40.6,1,D14,-0.655,0.19,1,4-2-p-n
Ruprecht 125,17,29,38,-,40,28,0,,20.0,1500,0.1,8.77,-2.26,0.11,-3.09,0.12,2100,D14,,,0,,,,0,4-2-m-*
Antalova 2,17,29,42,-,32,29,0,,3.0,3500,3.9,9.1,-0.15,0.64,-2.97,1.61,17,D14,,,0,,,,0,4-1-p-*
Antalova 3,17,30,34,-,32,12,30,,21.0,2588,1.353,8.415,-0.15,0.1,-2.18,0.11,741,D14,,,0,,,,0,
Harvard 16,17,31,12,-,36,48,0,,14.0,1467,0.833,7.94,-0.35,0.14,0.05,0.18,582,D14,,,0,,,,0,4-1-p-n?
FSR 1758,17,31,21,-,39,51,9,IR,2.2,7086,0.77,9.2,-4.98,0.82,4.71,0.82,106,K14,,,0,,,,0,
Collinder 333,17,31,31,-,34,1,0,,7.0,855,0.11,8.9,-2.42,0.32,0.38,0.31,159,D14,,,0,,,,0,2-2-m-*
BH 231,17,31,56,-,31,54,36,,2.0,1699,1.863,6.67,0.58,0.48,-2.82,0.48,33,K14,,,0,,,,0,
Antalova 4,17,32,39,-,32,57,24,,3.5,1802,0.999,6.0,-0.33,0.62,-3.31,0.42,19,D14,,,0,,,,0,
IRAS 17301 2917,17,33,22,-,29,10,42,,,1215,2.415,7.2,0.66,1.52,0.77,1.52,48,K14,,,0,,,,0,
NGC 6383,17,34,48,-,32,34,0,,20.0,985,0.298,6.962,0.37,0.16,-1.34,0.15,610,D14,2.67,2.17,3,K07,,,0,
Ruprecht 126,17,35,1,-,34,16,0,d,5.0,2325,0.833,8.875,-0.95,0.28,-0.11,0.27,123,D14,,,0,,,,0,4-2-p-*
FSR 1767,17,35,43,-,36,21,28,IR,1.0,1948,1.405,8.675,1.4,0.92,-1.98,1.01,17,D14,,,0,,,,0,
Dutra Bica 50,17,36,10,-,32,24,6,,2.2,0,,,,,,,0,,,,0,,,,0,
Trumpler 27,17,36,20,-,33,31,0,,6.0,1211,1.194,7.063,-0.92,2.47,-0.57,1.51,1,BDW,-15.8,1.3,1,K07,-0.193,0.013,2,
ESO 334 02,17,36,57,-,42,13,36,,2.0,3210,0.521,9.2,-7.0,1.07,-1.6,1.07,25,K14,,,0,,,,0,4-3-p-*
Trumpler 28,17,37,0,-,32,29,0,,5.0,1343,0.733,7.29,-0.56,0.33,-1.8,0.28,146,D14,7.0,0.0,1,DL03,0.326,0.11,1,
NGC 6396,17,37,36,-,35,1,36,,3.0,1192,0.926,7.506,-1.52,0.46,-0.9,0.52,86,D14,-13.55,0.31,1,MMU,,,0,
Dutra Bica 59,17,37,41,-,25,15,0,,1.9,0,,,,,,,0,,,,0,,,,0,
ESO 139 13,17,37,41,-,58,7,48,,5.0,1500,0.2,8.78,-0.72,0.34,-2.69,0.62,73,D14,-33.9,0.66,2,K14,,,0,4-3-p-*
Ruprecht 127,17,37,51,-,36,18,0,,5.0,1466,0.99,7.351,0.68,0.2,-2.69,0.33,111,D14,-28.9,1.89,2,D14,,,0,
Mamajek 2,17,38,0,-,8,6,42,,10.0,161,0.8,8.1,-11.88,0.44,-20.81,0.31,10,MAM,-18.5,2.0,10,MAM,,,0,
Collinder 338,17,38,21,-,37,43,0,,20.0,880,0.25,8.65,-1.74,0.13,-2.06,0.15,1217,D14,,,0,,,,0,3-2-m-*
ESO 393 12,17,38,40,-,35,39,6,,2.0,8208,1.332,10.1,4.16,1.27,-4.85,1.27,27,K14,,,0,,,,0,3-2-p-*
ASCC 90,17,39,7,-,34,48,0,,43.2,500,0.3,8.81,-2.49,0.32,-3.64,0.28,24,K05,,,0,,,,0,
Majaess 184,17,39,17,-,31,8,46,IR,5.0,0,,,-1.49,0.43,-1.68,0.3,58,D14,,,0,,,,0,
Dutra Bica 60,17,39,20,-,23,41,0,,1.0,3054,1.478,9.2,-3.58,1.06,-3.89,1.07,32,D14,,,0,,,,0,
NGC 6404,17,39,37,-,33,14,48,,5.0,2400,0.92,8.7,-7.73,5.37,-5.0,5.36,4,MRZ,10.6,1.1,4,MRZ,0.11,0.04,4,3-2-m-*
NGC 6400,17,40,12,-,36,56,54,,12.0,950,0.11,8.78,-1.16,0.13,-1.73,0.21,561,D14,,,0,,,,0,2-2-m-*
NGC 6405,17,40,20,-,32,15,12,,20.0,487,0.144,7.974,-1.05,0.11,-3.08,0.09,737,D14,-7.02,1.53,10,FM09,0.06,0.15,0,
Trumpler 29,17,41,31,-,40,9,0,d,12.0,760,0.19,8.69,-0.24,0.09,-5.02,0.11,1037,D14,,,0,,,,0,3-2-m-*
Dutra Bica 18,17,42,48,-,28,6,30,,1.6,0,,,2.4,0.51,0.02,0.51,20,D14,,,0,,,,0,
Alessi 9,17,43,30,-,46,58,0,,150.0,211,,,11.59,0.31,-9.72,0.31,26,K05,-11.6,1.2,1,K07,-0.58,0.09,1,
ESO 393 15,17,43,33,-,34,13,6,d,5.0,2471,1.666,9.15,-1.2,0.16,-2.4,0.25,283,D14,,,0,,,,0,
Ruprecht 128,17,44,18,-,34,53,0,,5.0,2486,1.624,9.2,1.03,0.2,-1.12,0.16,224,D14,,,0,,,,0,4-1-m-*
